"","idhous99","idpers_new","idpers","sex","birthm","birthy","age","marstat","intlang","religion","disrel_fr","health","work","income","cfriends","reading","inchild","children","education","fath15","moth15","stepp15","sib15","inear15","ocfath15","edufath","mthwk15","ocmth15","edumth","fathpol","mothpol"
"217",15591,1,1559101,"woman",1,1934,65,"widower/widow","french","roman catholic","never","well","not in labor force",-8,8,"every day",0,1,"high school","no","yes","inapplicable","yes","a guardian","elementary occupations",3,"no",NA,"general training/apprenticeship","right","right"
"218",15681,1,1568102,"woman",8,1946,53,"married","german","roman catholic","","well","active occupied",10000,4,"every day",3,3,"compulsory or less","yes","yes","inapplicable","yes","mother",NA,1,"no",NA,"compulsory or less","innaplicable","innaplicable"
"219",15851,1,1585101,"woman",10,1938,61,"widower/widow","french","protestant or reformed church","never","well","not in labor force",18000,NA,"every day",0,3,"compulsory or less","yes","yes","inapplicable","yes","both equally","skilled agricultural and fishery workers",1,"no",NA,"compulsory or less","don't know","don't know"
"220",16061,1,1606101,"woman",11,1938,61,"married","french","roman catholic","","well","active occupied",6500,4,"at least once a week",0,2,"general training/apprenticeship","yes","yes","inapplicable","no","both equally","legislators, senior officials, managers",1,"yes","legislators, senior officials, managers","compulsory or less","right","right"
"221",16161,1,1616101,"woman",9,1942,57,"single, never married","french","roman catholic","","so, so (average)","active occupied",46800,20,"at least once a week",0,2,"compulsory or less","yes","yes","inapplicable","yes","father","elementary occupations",1,"no",NA,"compulsory or less","left","no particular tendency"
"222",16261,1,1626102,"woman",9,1951,48,"married","german","roman catholic","","so, so (average)","active occupied",19500,1,"every day",2,2,"university/postgrad","yes","yes","inapplicable","no","father",NA,5,"no","technicians and associate professionals","high school","innaplicable","innaplicable"
"223",16491,1,1649101,"woman",7,1932,67,"widower/widow","french","roman catholic","never","well","not in labor force",-1,16,"every day",0,0,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no",NA,"compulsory or less","innaplicable","innaplicable"
"224",16561,1,1656101,"woman",11,1941,58,"married","french","roman catholic","","very well","active occupied",-2,4,"every day",0,1,"general training/apprenticeship","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",3,"no",NA,"compulsory or less","right","right"
"225",16641,1,1664102,"woman",7,1945,54,"married","german","protestant or reformed church","never","well","active occupied",-5,4,"every day",2,3,"general training/apprenticeship","yes","yes","inapplicable","yes","father","elementary occupations",1,"no",NA,"compulsory or less","left","left"
"226",16651,1,1665102,"woman",12,1945,54,"married","german","roman catholic","","well","not in labor force",-4,4,"every day",0,2,"compulsory or less","no","yes","inapplicable","no","mother","skilled agricultural and fishery workers",3,"no",NA,"general training/apprenticeship","other","right"
"227",16751,1,1675102,"woman",11,1938,61,"married","german","protestant or reformed church","","well","active occupied",-4,2,"every day",0,0,"high school","yes","yes","inapplicable","yes","father","technicians and associate professionals",5,"no",NA,"compulsory or less","no particular tendency","no particular tendency"
"228",16871,1,1687101,"woman",6,1942,57,"married","german","roman catholic","","well","active occupied",1170000,2,"every day",0,1,"high school","yes","yes","inapplicable","yes","both equally","legislators, senior officials, managers",3,"no",NA,"general training/apprenticeship","innaplicable","innaplicable"
"229",16921,1,1692102,"woman",11,1919,80,"married","french","roman catholic","never","so, so (average)","not in labor force",-2,NA,"every day",1,7,"compulsory or less","yes","yes","inapplicable","yes","both equally","craft and related trades workers",1,"yes","service workers, market sales workers","compulsory or less","innaplicable","innaplicable"
"230",17071,1,1707102,"woman",9,1943,56,"married","german","protestant or reformed church","","so, so (average)","active occupied",-1,1,"every day",0,2,"high school","yes","yes","inapplicable","yes","father","technicians and associate professionals",5,"no","skilled agricultural and fishery workers","general training/apprenticeship","innaplicable","innaplicable"
"231",17111,1,1711101,"woman",3,1951,48,"divorced","french","roman catholic","never","well","not in labor force",-1,4,"at least once a week",1,3,"compulsory or less","no","no","inapplicable","no","a guardian","skilled agricultural and fishery workers",NA,"no",NA,"compulsory or less","don't know","don't know"
"232",17261,1,1726102,"woman",3,1952,47,"married","french","roman catholic","never","very well","not in labor force",-2,2,"every day",2,3,"compulsory or less","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"no",NA,"compulsory or less","innaplicable","innaplicable"
"233",17291,1,1729101,"woman",1,1944,55,"separated","french","roman catholic","never","well","active occupied",33800,16,"never",0,1,"compulsory or less","yes","yes","inapplicable","yes","both equally","craft and related trades workers",3,"no",NA,"compulsory or less","don't know","don't know"
"234",17321,1,1732102,"woman",5,1934,65,"married","french","protestant or reformed church","","well","not in labor force",-1,1,"every day",0,0,"compulsory or less","yes","yes","inapplicable","yes","father","service workers, market sales workers",3,"no","technicians and associate professionals","high school","innaplicable","innaplicable"
"235",17421,1,1742102,"woman",8,1952,47,"widower/widow","french","roman catholic","never","well","active occupied",57120,1,"at least once a week",2,2,"compulsory or less","yes","yes","inapplicable","yes","father","elementary occupations",NA,"no",NA,"compulsory or less","don't know","don't know"
"236",17431,1,1743102,"woman",6,1952,47,"married","german","protestant or reformed church","never","very well","active occupied",-2,1,"every day",1,3,"general training/apprenticeship","yes","yes","inapplicable","yes","father","elementary occupations",1,"no",NA,"compulsory or less","left","don't know"
"237",17521,1,1752102,"woman",9,1932,67,"married","german","protestant or reformed church","","very well","not in labor force",-1,1,"every day",0,3,"compulsory or less","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"yes","elementary occupations","compulsory or less","innaplicable","innaplicable"
"238",17531,1,1753101,"woman",5,1920,79,"single, never married","german","roman catholic","","so, so (average)","not in labor force",32400,12,"every day",0,0,"general training/apprenticeship","yes","yes","inapplicable","no","father","craft and related trades workers",3,"no",NA,"compulsory or less","other","other"
"239",17641,1,1764101,"woman",3,1927,72,"married","french","protestant or reformed church","","so, so (average)","not in labor force",-2,1,"every day",0,0,"general training/apprenticeship","yes","yes","inapplicable","yes","father","elementary occupations",1,"no",NA,"compulsory or less","innaplicable","innaplicable"
"240",17701,1,1770101,"woman",7,1939,60,"widower/widow","german","protestant or reformed church","","well","active occupied",-5,16,"every day",0,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"yes","craft and related trades workers","general training/apprenticeship","innaplicable","innaplicable"
"241",17731,1,1773101,"woman",3,1949,50,"widower/widow","french","no denomination or religion","never","so, so (average)","active occupied",-5,28,"at least once a week",1,3,"high school","yes","yes","inapplicable","yes","father","elementary occupations",3,"no","service workers, market sales workers","general training/apprenticeship","innaplicable","innaplicable"
"242",17741,1,1774102,"woman",12,1921,78,"married","german","protestant or reformed church","","well","not in labor force",-1,1,"every day",0,3,"high school","no","no","inapplicable","no","mother","craft and related trades workers",3,"yes","service workers, market sales workers","general training/apprenticeship","innaplicable","innaplicable"
"243",17751,1,1775102,"woman",1,1948,51,"married","french","roman catholic","never","well","not in labor force",-4,1,"every day",0,0,"high school","yes","yes","inapplicable","yes","both equally","craft and related trades workers",1,"yes","elementary occupations","compulsory or less","innaplicable","innaplicable"
"244",17801,1,1780101,"woman",12,1944,55,"married","german","protestant or reformed church","never","well","not in labor force",-1,4,"at least once a week",0,4,"general training/apprenticeship","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"yes","skilled agricultural and fishery workers","compulsory or less","right","no particular tendency"
"245",17811,1,1781102,"woman",1,1951,48,"married","french","no denomination or religion","","well","active occupied",77350,4,"every day",0,0,"university/postgrad","yes","yes","inapplicable","yes","father","technicians and associate professionals",5,"yes","professionals","high school","right","right"
"246",17891,1,1789102,"woman",9,1934,65,"married","german","protestant or reformed church","","so, so (average)","not in labor force",-2,4,"every day",0,6,"high school","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no","craft and related trades workers","general training/apprenticeship","innaplicable","innaplicable"
"247",17971,1,1797101,"woman",3,1940,59,"divorced","german","roman catholic","","so, so (average)","active occupied",34272,8,"every day",0,0,"university/postgrad","no","yes","inapplicable","no","mother","professionals",15,"yes","craft and related trades workers","high school","innaplicable","innaplicable"
"248",18011,1,1801102,"woman",11,1951,48,"married","german","protestant or reformed church","","so, so (average)","not in labor force",-2,NA,"every day",2,2,"high school","yes","yes","inapplicable","yes","father","professionals",15,"no","technicians and associate professionals","high school","right","centre"
"249",18031,1,1803101,"woman",4,1946,53,"divorced","german","roman catholic","","well","active occupied",182000,8,"every day",0,0,"domestic science course, 1yr","no","yes","inapplicable","yes","mother",NA,NA,"yes","service workers, market sales workers","compulsory or less","innaplicable","innaplicable"
"250",18211,1,1821102,"woman",11,1930,69,"married","german","protestant or reformed church","","well","not in labor force",-8,1,"every day",0,2,"compulsory or less","yes","yes","inapplicable","yes","mother","craft and related trades workers",1,"yes","technicians and associate professionals","compulsory or less","other","other"
"251",18231,1,1823101,"woman",12,1931,68,"widower/widow","german","roman catholic","never","well","not in labor force",-2,NA,"every day",0,3,"compulsory or less","yes","yes","inapplicable","yes","father","technicians and associate professionals",NA,"no",NA,NA,"no particular tendency","no particular tendency"
"252",18391,1,1839102,"woman",10,1943,56,"married","german","protestant or reformed church","","well","active occupied",52000,4,"every day",0,3,"general training/apprenticeship","no","yes","inapplicable","yes","mother",NA,NA,"yes","elementary occupations","compulsory or less","other","other"
"253",18441,1,1844101,"woman",6,1942,57,"separated","german","protestant or reformed church","","well","active occupied",30940,4,"every day",1,3,"general training/apprenticeship","yes","yes","inapplicable","yes","father","professionals",5,"no","technicians and associate professionals","general training/apprenticeship","centre","centre"
"254",18491,1,1849101,"woman",6,1951,48,"divorced","german","protestant or reformed church","","well","active occupied",94367,1,"every day",0,2,"university/postgrad","no","no","inapplicable","no","a guardian",NA,NA,NA,NA,NA,"don't know","don't know"
"255",18511,1,1851102,"woman",12,1926,73,"divorced","german","protestant or reformed church","","so, so (average)","not in labor force",15600,1,"every day",0,0,"general training/apprenticeship","no","yes","inapplicable","yes","mother","craft and related trades workers",3,"yes",NA,NA,"innaplicable","innaplicable"
"256",18571,1,1857102,"woman",5,1934,65,"married","german","protestant or reformed church","never","well","not in labor force",-1,4,"every day",0,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no",NA,"compulsory or less","innaplicable","innaplicable"
"257",18631,1,1863101,"woman",6,1938,61,"widower/widow","german","no denomination or religion","","very well","not in labor force",-2,4,"every day",0,1,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no",NA,"compulsory or less","innaplicable","innaplicable"
"258",18711,1,1871101,"woman",6,1914,85,"widower/widow","german","protestant or reformed church","never","not very well","not in labor force",-2,NA,"at least once a week",0,0,"general training/apprenticeship","no","yes","inapplicable","yes","mother",NA,NA,"yes",NA,NA,"innaplicable","innaplicable"
"259",18761,1,1876101,"woman",9,1915,84,"widower/widow","german","protestant or reformed church","","well","not in labor force",-4,3,"every day",0,0,"domestic science course, 1yr","yes","yes","inapplicable","no","father","technicians and associate professionals",5,"no","craft and related trades workers","general training/apprenticeship","no particular tendency","no particular tendency"
"260",18801,1,1880101,"woman",6,1929,70,"married","german","roman catholic","never","very well","not in labor force",19440,20,"every day",0,1,"compulsory or less","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no","service workers, market sales workers","general training/apprenticeship","centre","no particular tendency"
"261",18901,1,1890102,"woman",8,1952,47,"married","german","protestant or reformed church","","very well","active occupied",61880,4,"every day",2,2,"university/postgrad","no","yes","inapplicable","yes","mother","professionals",15,"yes","service workers, market sales workers","general training/apprenticeship","innaplicable","innaplicable"
"262",18951,1,1895101,"woman",3,1954,45,"married","german","protestant or reformed church","never","well","not in labor force",2400,NA,"every day",1,1,"general training/apprenticeship","yes","yes","inapplicable","yes","father","service workers, market sales workers",3,"no",NA,"compulsory or less","right","right"
"263",19071,1,1907102,"woman",7,1948,51,"married","german","roman catholic","never","well","active occupied",24000,1,"every day",0,2,"general training/apprenticeship","no","no","inapplicable","no","a guardian","elementary occupations",3,"yes","service workers, market sales workers","general training/apprenticeship","innaplicable","innaplicable"
"264",19171,1,1917101,"woman",8,1952,47,"separated","german","protestant or reformed church","","well","not in labor force",62832,8,"every day",3,4,"high school","no","yes","inapplicable","no","both equally",NA,NA,"yes","craft and related trades workers","general training/apprenticeship","innaplicable","innaplicable"
"265",19351,1,1935102,"woman",12,1929,70,"married","german","other","","very well","not in labor force",12000,4,"every day",1,4,"high school","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",15,"no","technicians and associate professionals","general training/apprenticeship","right","centre"
"266",19511,1,1951102,"woman",11,1952,47,"married","german","roman catholic","","well","active occupied",45220,4,"every day",2,2,"general training/apprenticeship","yes","yes","inapplicable","yes","both equally","skilled agricultural and fishery workers",1,"yes","elementary occupations","compulsory or less","innaplicable","innaplicable"
"267",19631,1,1963102,"woman",11,1948,51,"married","german","protestant or reformed church","never","well","not in labor force",-2,4,"every day",3,4,"high school","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"no",NA,"compulsory or less","no particular tendency","no particular tendency"
"268",19671,1,1967102,"woman",12,1948,51,"married","german","roman catholic","","not very well","not in labor force",-4,8,"every day",1,2,"compulsory or less","yes","yes","inapplicable","yes","father","elementary occupations",1,"yes","service workers, market sales workers","high school","no particular tendency","centre"
"269",19721,1,1972102,"woman",6,1951,48,"married","german","roman catholic","","well","active occupied",64974,3,"every day",0,0,"compulsory or less","no","no","inapplicable","no","a guardian",NA,NA,"yes","service workers, market sales workers","general training/apprenticeship","other","other"
"270",19831,1,1983101,"woman",2,1939,60,"married","german","other","never","so, so (average)","not in labor force",22800,1,"every day",0,0,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",5,"no","service workers, market sales workers","compulsory or less","no particular tendency","no particular tendency"
"271",19871,1,1987101,"woman",6,1931,68,"widower/widow","german","protestant or reformed church","","very well","not in labor force",-4,12,"every day",0,2,"high school","yes","yes","inapplicable","yes","father","technicians and associate professionals",5,"no","service workers, market sales workers","general training/apprenticeship","centre","no particular tendency"
"272",19921,1,1992102,"woman",2,1953,46,"married","german","protestant or reformed church","","very well","active occupied",23400,2,"every day",2,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","service workers, market sales workers",3,"no",NA,"compulsory or less","centre","centre"
"273",20081,1,2008102,"woman",4,1929,70,"married","german","protestant or reformed church","never","well","not in labor force",45360,4,"every day",0,2,"high school","yes","yes","inapplicable","no","father","technicians and associate professionals",3,"no","service workers, market sales workers","compulsory or less","centre","no particular tendency"
"274",20111,1,2011101,"woman",12,1952,47,"married","german","protestant or reformed church","","so, so (average)","active occupied",6500,NA,"every day",2,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","elementary occupations",1,"yes","elementary occupations","compulsory or less","left","left"
"275",20301,1,2030101,"woman",7,1952,47,"separated","german","roman catholic","","so, so (average)","active occupied",18200,1,"every day",2,2,"compulsory or less","yes","yes","inapplicable","yes","father","elementary occupations",0,"yes","elementary occupations","compulsory or less","innaplicable","innaplicable"
"276",20331,1,2033102,"woman",7,1938,61,"married","german","roman catholic","never","very well","active occupied",-4,NA,"every day",0,1,"general training/apprenticeship","yes","yes","inapplicable","yes","both equally","craft and related trades workers",3,"yes","service workers, market sales workers","compulsory or less","right","no particular tendency"
"277",20371,1,2037102,"woman",3,1949,50,"married","german","roman catholic","never","so, so (average)","not in labor force",2400,1,"every day",2,3,"general training/apprenticeship","no","yes","inapplicable","yes","mother","craft and related trades workers",3,"yes",NA,"compulsory or less","other","centre"
"278",20671,1,2067101,"woman",12,1942,57,"divorced","german","no denomination or religion","never","well","active occupied",58786,1,"every day",0,2,"compulsory or less","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"yes",NA,"compulsory or less","don't know","don't know"
"279",20851,1,2085101,"woman",12,1943,56,"divorced","german","protestant or reformed church","","so, so (average)","not in labor force",-2,3,"every day",0,3,"general training/apprenticeship","no","yes","inapplicable","yes","both equally",NA,NA,"yes","skilled agricultural and fishery workers","compulsory or less","innaplicable","innaplicable"
"280",20861,1,2086101,"woman",12,1943,56,"separated","german","no denomination or religion","","so, so (average)","active occupied",80600,20,"every day",0,3,"high school","no","no","inapplicable","no","a guardian",NA,NA,NA,"craft and related trades workers","general training/apprenticeship","innaplicable","innaplicable"
"281",20881,1,2088101,"woman",8,1942,57,"married","german","protestant or reformed church","","well","active occupied",43316,1,"every day",0,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","elementary occupations",3,"no","service workers, market sales workers","compulsory or less","centre","centre"
"282",20981,1,2098101,"woman",8,1945,54,"widower/widow","german","roman catholic","never","very well","active occupied",-2,NA,"every day",0,0,"high school","yes","yes","inapplicable","yes","both equally","professionals",5,"yes","service workers, market sales workers","general training/apprenticeship","innaplicable","innaplicable"
"283",21081,1,2108101,"woman",8,1944,55,"married","german","roman catholic","","very well","not in labor force",-4,4,"every day",0,0,"compulsory or less","yes","no","inapplicable","yes","father","elementary occupations",1,"no","elementary occupations","compulsory or less","innaplicable","innaplicable"
"284",21421,1,2142101,"woman",5,1944,55,"divorced","german","no denomination or religion","","very well","active occupied",72709,NA,"every day",0,0,"general training/apprenticeship","yes","yes","inapplicable","yes","father","technicians and associate professionals",5,"no","service workers, market sales workers","high school","centre","other"
"285",21441,1,2144102,"woman",12,1944,55,"married","german","roman catholic","never","well","active occupied",70200,1,"every day",1,2,"high school","yes","yes","inapplicable","yes","father","service workers, market sales workers",3,"no","service workers, market sales workers","compulsory or less","left","no particular tendency"
"286",21471,1,2147101,"woman",5,1945,54,"married","german","roman catholic","","very well","not in labor force",-4,1,"every day",3,6,"high school","yes","no","inapplicable","yes","father","elementary occupations",1,"no","service workers, market sales workers","general training/apprenticeship","left","other"
"287",21551,1,2155101,"woman",12,1951,48,"widower/widow","german","no denomination or religion","","well","active occupied",123760,NA,"every day",2,2,"high school","yes","yes","inapplicable","yes","father","elementary occupations",3,"no","service workers, market sales workers","high school","innaplicable","innaplicable"
"288",21571,1,2157101,"woman",9,1922,77,"widower/widow","german","protestant or reformed church","","well","not in labor force",-4,1,"every day",1,3,"high school","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",3,"no","technicians and associate professionals","high school","centre","centre"
"289",21611,1,2161102,"woman",4,1949,50,"married","german","protestant or reformed church","","well","not in labor force",-4,NA,"less than once a month",1,2,"compulsory or less","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no",NA,"compulsory or less","innaplicable","innaplicable"
"290",21621,1,2162101,"woman",2,1940,59,"divorced","german","no denomination or religion","","well","active occupied",123760,1,"every day",0,2,"high school","yes","yes","inapplicable","yes","father","technicians and associate professionals",5,"no","service workers, market sales workers","high school","right","other"
"291",21681,1,2168101,"woman",12,1928,71,"widower/widow","german","protestant or reformed church","","so, so (average)","active occupied",-4,NA,"every day",1,2,"compulsory or less","yes","yes","inapplicable","yes","father","technicians and associate professionals",3,"yes","technicians and associate professionals","compulsory or less","right","right"
"292",21721,1,2172101,"woman",11,1917,82,"widower/widow","german","protestant or reformed church","never","well","not in labor force",31104,4,"every day",0,1,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no",NA,"compulsory or less","no particular tendency","no particular tendency"
"293",21851,1,2185101,"woman",7,1942,57,"married","german","roman catholic","","well","active occupied",28600,4,"every day",0,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",3,"no","service workers, market sales workers","compulsory or less","right","no particular tendency"
"294",21991,1,2199102,"woman",8,1935,64,"married","german","protestant or reformed church","never","well","active occupied",-5,8,"every day",0,6,"compulsory or less","no","no","inapplicable","yes","a guardian","skilled agricultural and fishery workers",1,NA,NA,NA,"other","other"
"295",22041,1,2204102,"woman",8,1944,55,"married","german","protestant or reformed church","","well","active occupied",6000,4,"every day",0,0,"high school","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",5,"no","service workers, market sales workers","general training/apprenticeship","left","right"
"296",22071,1,2207101,"woman",1,1911,88,"widower/widow","german","protestant or reformed church","never","well","not in labor force",51840,4,"every day",0,0,"compulsory or less","yes","yes","inapplicable","yes","father","elementary occupations",3,"no","elementary occupations","compulsory or less","left","no particular tendency"
"297",22121,1,2212102,"woman",5,1922,77,"married","german","protestant or reformed church","never","well","not in labor force",-2,5,"every day",0,1,"domestic science course, 1yr","yes","yes","inapplicable","no","father","elementary occupations",5,"no","service workers, market sales workers","general training/apprenticeship","innaplicable","innaplicable"
"298",22171,1,2217101,"woman",3,1926,73,"widower/widow","german","protestant or reformed church",NA,"well","not in labor force",-2,28,"every day",0,2,"high school","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",5,"no",NA,"compulsory or less","don't know","no particular tendency"
"299",22261,1,2226101,"woman",3,1946,53,"divorced","german","protestant or reformed church","","not very well","not in labor force",-2,4,"every day",0,2,"domestic science course, 1yr","yes","yes","inapplicable","yes","both equally","skilled agricultural and fishery workers",1,"yes","craft and related trades workers","general training/apprenticeship","don't know","don't know"
"300",22271,1,2227101,"woman",6,1954,45,"widower/widow","french","no denomination or religion","","so, so (average)","not in labor force",-2,NA,"every day",1,1,"high school","yes","yes","inapplicable","yes","father","professionals",15,"yes","craft and related trades workers","high school","innaplicable","innaplicable"
"301",22301,1,2230102,"woman",1,1954,45,"married","german","no denomination or religion","never","well","active occupied",19500,1,"every day",1,1,"high school","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"yes","skilled agricultural and fishery workers","general training/apprenticeship","left","left"
"302",22311,1,2231102,"woman",9,1929,70,"married","german","protestant or reformed church","","well","not in labor force",-4,8,"every day",0,0,"compulsory or less","yes","yes","inapplicable","yes","father","craft and related trades workers",1,"no",NA,"compulsory or less","other","other"
"303",22381,1,2238102,"woman",11,1948,51,"married","german","roman catholic","","well","active occupied",108290,8,"at least once a week",0,0,"high school","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no","technicians and associate professionals","high school","centre","centre"
"304",22401,1,2240101,"woman",4,1930,69,"married","german","protestant or reformed church","","well","not in labor force",-2,NA,NA,1,2,"compulsory or less","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"no",NA,"compulsory or less","innaplicable","innaplicable"
"305",22461,1,2246101,"woman",8,1944,55,"single, never married","german","protestant or reformed church","","well","active occupied",84966,4,"every day",0,0,"high school","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no","service workers, market sales workers","compulsory or less","don't know","don't know"
"306",22551,1,2255101,"woman",7,1937,62,"married","german","roman catholic","","well","not in labor force",-4,20,"every day",0,3,"compulsory or less","yes","yes","inapplicable","yes","both equally",NA,1,"yes",NA,"compulsory or less","don't know","don't know"
"307",22561,1,2256101,"woman",9,1948,51,"single, never married","german","roman catholic","","very well","active occupied",59800,8,"every day",0,0,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"yes","craft and related trades workers","general training/apprenticeship","centre","centre"
"308",22631,1,2263102,"woman",8,1930,69,"married","german","roman catholic","","well","active occupied",19440,NA,"every day",0,0,"high school","yes","yes","inapplicable","no","father","skilled agricultural and fishery workers",3,"yes","craft and related trades workers","general training/apprenticeship","innaplicable","innaplicable"
"309",22741,1,2274101,"woman",7,1953,46,"single, never married","german","no denomination or religion","","very well","active occupied",-2,3,"every day",0,0,"university/postgrad","yes","yes","inapplicable","yes","both equally","legislators, senior officials, managers",3,"yes","service workers, market sales workers","general training/apprenticeship","centre","centre"
"310",22771,1,2277102,"woman",6,1954,45,"married","german","roman catholic","never","very well","active occupied",54145,1,"every day",2,2,"university/postgrad","yes","yes","inapplicable","yes","father","professionals",15,"no",NA,"university/postgrad","centre","right"
"311",22851,1,2285102,"woman",1,1946,53,"married","german","protestant or reformed church","","very well","not in labor force",-2,2,"every day",0,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","elementary occupations",1,"no",NA,"compulsory or less","left","no particular tendency"
"312",23091,1,2309101,"woman",5,1953,46,"single, never married","german","no denomination or religion","","well","active occupied",85085,4,"every day",0,0,"general training/apprenticeship","yes","yes","inapplicable","yes","father","technicians and associate professionals",3,"no","service workers, market sales workers","compulsory or less","centre","left"
"313",23271,1,2327102,"woman",3,1952,47,"married","german","protestant or reformed church","never","well","active occupied",22000,2,"every day",2,2,"high school","yes","yes","inapplicable","yes","father","elementary occupations",3,"no",NA,"compulsory or less","left","other"
"314",23381,1,2338102,"woman",3,1952,47,"married","german","protestant or reformed church","very often","very well","active occupied",6000,12,"every day",2,2,"high school","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no","service workers, market sales workers","high school","no particular tendency","no particular tendency"
"315",23511,1,2351102,"woman",2,1946,53,"married","german","protestant or reformed church","","very well","not in labor force",-4,1,"at least once a week",0,2,"domestic science course, 1yr","yes","yes","inapplicable","no","father","technicians and associate professionals",3,"yes","elementary occupations","compulsory or less","left","left"
"316",23591,1,2359102,"woman",2,1936,63,"divorced","german","protestant or reformed church","","well","not in labor force",36000,4,"at least once a week",0,0,"general training/apprenticeship","no","yes","inapplicable","no","mother",NA,3,"yes","legislators, senior officials, managers","general training/apprenticeship","other","no particular tendency"
"317",23601,1,2360101,"woman",11,1937,62,"widower/widow","german","protestant or reformed church","very often","very well","active occupied",69615,4,"every day",0,1,"domestic science course, 1yr","yes","yes","inapplicable","no","father","elementary occupations",1,"yes","elementary occupations","compulsory or less","left","centre"
"318",23761,1,2376101,"woman",6,1944,55,"single, never married","german","roman catholic","never","not well at all","not in labor force",-4,28,"every day",0,0,"compulsory or less","no","no","inapplicable","no","a guardian","elementary occupations",3,"yes","elementary occupations","compulsory or less","innaplicable","innaplicable"
"319",23781,1,2378102,"woman",12,1945,54,"married","german","no denomination or religion","","so, so (average)","active occupied",-3,4,"every day",2,2,"high school","yes","yes","inapplicable","yes","father","technicians and associate professionals",1,"no","professionals","high school","left","left"
"320",23821,1,2382101,"woman",11,1948,51,"married","german","roman catholic","","very well","active occupied",24000,1,"at least once a week",2,2,"general training/apprenticeship","yes","yes","inapplicable","yes","both equally","craft and related trades workers",3,"yes",NA,"compulsory or less","innaplicable","innaplicable"
"321",23861,1,2386102,"woman",8,1929,70,"married","german","protestant or reformed church","","very well","not in labor force",19440,5,"every day",0,3,"general training/apprenticeship","yes","yes","inapplicable","yes","father","elementary occupations",1,"no",NA,"compulsory or less","centre","centre"
"322",23981,1,2398102,"woman",6,1945,54,"married","german","protestant or reformed church","never","well","active occupied",92820,4,"every day",0,1,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no","elementary occupations","compulsory or less","don't know","no particular tendency"
"323",24001,1,2400102,"woman",10,1938,61,"married","german","protestant or reformed church","very often","well","not in labor force",-2,4,"every day",0,0,"compulsory or less","yes","yes","inapplicable","yes","both equally","craft and related trades workers",3,"yes","elementary occupations","general training/apprenticeship","no particular tendency","no particular tendency"
"324",24161,1,2416102,"woman",12,1924,75,"married","german","roman catholic","","well","not in labor force",-2,4,"every day",0,0,"general training/apprenticeship","yes","yes","inapplicable","yes","father","elementary occupations",NA,"no","craft and related trades workers","general training/apprenticeship","innaplicable","innaplicable"
"325",24181,1,2418101,"woman",8,1951,48,"married","german","roman catholic","","well","active occupied",-5,4,"at least once a week",2,2,"general training/apprenticeship","yes","yes","inapplicable","yes","both equally","skilled agricultural and fishery workers",1,"yes","skilled agricultural and fishery workers","compulsory or less","innaplicable","innaplicable"
"326",24251,1,2425101,"woman",2,1950,49,"married","german","protestant or reformed church","","well","active occupied",-2,4,"every day",0,0,"general training/apprenticeship","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",3,"yes","skilled agricultural and fishery workers","general training/apprenticeship","innaplicable","innaplicable"
"327",24321,1,2432102,"woman",10,1951,48,"married","german","roman catholic","","well","active occupied",85085,1,"every day",2,4,"domestic science course, 1yr","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",3,"yes","elementary occupations","general training/apprenticeship","innaplicable","innaplicable"
